univ,id,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,p1,p2,p3
2,53,3,3,4,2,4,4,3,2,3,2,4,2,2,4,4,3,2,2,4,2,3,1,2
2,54,4,4,4,2,3,2,4,4,3,3,4,4,2,2,5,2,2,4,3,2,3,1,1
2,55,3,2,4,3,4,4,4,2,3,2,4,3,2,4,2,4,4,4,4,3,3,3,1
2,56,2,2,5,3,4,4,5,2,4,4,5,1,1,4,4,4,2,4,4,2,3,3,2
2,57,3,4,5,2,3,2,5,3,3,4,5,4,1,2,3,1,3,2,5,2,3,2,1
2,58,1,3,4,2,2,3,5,2,2,2,4,1,2,3,3,4,2,3,4,3,3,1,5
2,59,2,2,3,1,2,4,5,2,2,2,4,3,2,2,3,4,2,2,4,2,3,1,5
2,60,3,4,5,4,5,5,4,2,5,4,5,3,4,3,4,5,2,4,5,3,3,1,5
2,61,5,3,5,3,4,5,2,1,3,3,5,5,3,4,1,2,3,5,1,5,3,1,5
2,62,4,4,5,2,3,4,4,2,4,3,5,5,4,5,5,1,2,2,4,4,3,3,2
2,63,3,4,4,3,3,4,4,3,3,2,4,2,3,2,2,3,2,2,4,3,4,1,5
2,64,3,4,3,4,3,4,4,2,3,4,4,4,4,4,4,3,2,4,4,3,4,1,2
2,65,2,2,2,2,4,2,3,3,2,2,4,2,1,2,4,1,1,4,5,3,4,2,1
2,66,4,3,5,4,2,2,4,2,4,4,3,1,1,5,5,1,1,4,2,3,4,1,5
2,67,3,2,3,3,4,3,5,4,3,2,3,5,2,5,5,1,1,3,5,4,4,1,4
2,68,2,4,4,3,2,2,4,4,4,3,4,2,2,4,4,3,2,2,4,4,4,1,1
2,69,3,2,2,1,4,4,3,3,4,2,2,4,1,4,2,1,1,3,5,4,4,1,2
2,70,3,2,4,2,4,4,5,3,4,2,5,2,2,3,2,2,4,4,5,3,4,3,5
2,71,1,2,2,2,2,4,4,2,3,2,2,4,2,4,3,1,1,3,4,4,4,1,5
2,72,3,2,4,3,4,4,4,4,4,2,4,4,1,2,4,1,1,2,4,2,4,3,5
2,73,2,4,4,3,4,4,3,4,3,2,4,3,4,2,4,4,4,2,4,3,4,1,1
2,74,4,3,5,3,2,2,3,2,3,2,4,5,4,4,5,1,2,5,4,4,4,1,5
2,75,3,1,2,1,1,2,5,2,2,3,5,3,5,4,4,3,4,3,5,1,4,1,1
2,76,3,4,4,3,2,2,5,1,4,3,4,3,2,2,4,2,1,4,2,1,4,3,5
2,77,2,3,5,2,4,3,4,2,3,2,5,4,4,2,4,4,2,1,3,4,4,3,5
2,78,4,3,3,2,4,3,4,3,3,4,1,5,4,4,5,1,4,3,2,5,4,3,5
2,79,2,4,4,2,3,3,3,4,3,2,2,2,2,5,5,1,3,2,2,4,4,1,5
2,80,2,2,5,2,4,5,5,1,5,4,5,1,4,4,5,2,2,3,4,4,4,1,1
2,81,2,3,4,2,4,3,4,3,2,2,4,3,2,4,4,3,2,3,4,4,4,2,2
2,82,2,2,4,2,4,4,4,2,2,2,4,2,2,4,4,1,2,2,4,3,4,1,5
